variant,fp_ratio,ppl,seconds
fp16,,8.364399909973145,
int8_ptq,0.0,8.376991271972656,62.0
sadnd,0.06,8.375436782836914,59.6
output_aware,0.06,8.374377250671387,53.9
packing_aware,0.06,8.373705863952637,57.7
oa_packing,0.06,8.372454643249512,61.6
oa_global_packing,0.06,8.374618530273438,56.1
sadnd,0.2,8.374938011169434,56.3
output_aware,0.2,8.37357234954834,57.3
packing_aware,0.2,8.371788024902344,57.7
oa_packing,0.2,8.372374534606934,56.9
oa_global_packing,0.2,8.369919776916504,56.9
